Time	[X_25,1]	[X_25,2]	[X_25,3]	[X_25,4]	[X_25,5]	[X_25,6]	[X_25,7]	[X_25,8]	[X_25,9]	[X_25,10]	[X_25,11]	[X_25,12]	[X_25,13]	[X_25,14]	[X_25,15]	[X_25,16]	[X_25,17]	[X_25,18]	[X_25,19]	[X_25,20]	[X_25,21]	[X_25,22]	[X_25,23]	[X_25,24]	[X_25,25]	[X_25,26]	[X_25,27]	[X_25,28]	[X_25,29]	[X_25,30]	[X_25,31]	[X_25,32]	[X_25,33]	[X_25,34]	[X_25,35]	[X_25,36]	[X_25,37]	[X_25,38]	[X_25,39]	[X_25,40]	[X_25,41]	[X_25,42]	[X_25,43]	[X_25,44]	[X_25,45]	[X_25,46]	[X_25,47]	[X_25,48]	[X_25,49]
705.5	0.676906	1.45669	2.38692	3.45767	4.85023	6.88947	8.9243	11.0486	13.3381	15.9927	19.7677	23.2609	26.4566	29.2087	32.1938	34.9634	36.8273	39.0924	41.7329	43.4681	44.9872	45.6599	47.1731	49.0896	50.2964	49.3037	48.1838	45.7351	45.3903	43.5775	41.2154	39.1322	37.2761	34.8634	32.4728	29.6971	26.4919	23.3882	19.9526	16.0465	13.425	11.1134	8.99613	7.09514	5.08955	28.7744	27.9948	25.4481	24.7859
706	1.34734	2.15967	3.16213	4.33911	5.85392	8.00511	10.1952	12.4903	14.9372	17.7372	21.6535	25.2778	28.589	31.4073	34.5166	37.3871	39.2218	41.5307	44.2813	45.9939	47.4554	47.9357	49.3934	51.361	52.5472	51.6109	50.5766	48.015	47.9105	46.1078	43.6787	41.5772	39.7425	37.274	34.8431	31.9797	28.6317	25.4313	21.8795	17.8073	15.0526	12.5744	10.2828	8.25626	6.13046	29.1815	28.3548	25.81	25.1836
706.5	2.03955	2.87658	3.94481	5.22767	6.86186	9.11881	11.4591	13.9208	16.5196	19.4593	23.5136	27.2639	30.684	33.5582	36.7864	39.7507	41.5365	43.8748	46.7276	48.3894	49.7468	49.9313	51.2071	53.1	54.0202	53.4073	52.6329	50.0128	50.2612	48.5064	46.0292	43.9302	42.1375	39.624	37.1648	34.2217	30.735	27.4461	23.7845	19.5477	16.6664	14.0251	11.5597	9.41007	7.16184	29.6428	28.7356	26.1714	25.5748
707	2.75249	3.61241	4.73591	6.11942	7.86881	10.2255	12.7122	15.3368	18.0823	21.1563	25.345	29.216	32.7378	35.6563	38.9965	42.0452	43.7567	46.1024	49.0406	50.601	51.7486	51.2429	0.648553	0.697111	1.54708	0.636923	9.62263	51.3222	52.334	50.7172	48.232	46.1697	44.448	41.9047	39.432	36.4188	32.7981	29.4293	25.6647	21.2645	18.263	15.4618	12.823	10.553	8.1817	30.1307	29.1286	26.5324	25.9608
707.5	3.47678	4.35968	5.53122	7.01062	8.87102	11.3216	13.9514	16.7358	19.6232	22.826	27.1454	31.1313	34.7468	37.6963	41.1392	44.2584	45.8606	48.1765	51.1524	52.1065	0.439027	1.74539	2.79351	3.54099	4.29766	3.49332	2.56444	1.65183	0.388816	52.2295	50.21	48.2612	46.6557	44.1046	41.6376	38.5661	34.8175	31.3782	27.5175	22.9556	19.8403	16.882	14.07	11.683	9.18883	30.6308	29.5276	26.8918	26.3423
708	4.20414	5.11048	6.32554	7.89784	9.86577	12.4048	15.1748	18.1163	21.1407	24.4667	28.9124	33.0067	36.7066	39.6714	43.204	46.3724	47.7945	49.2371	0.627851	1.9803	3.17748	4.25864	5.16948	5.89217	6.56833	5.8564	4.99309	4.17831	3.11125	1.97131	0.680665	49.2389	48.7126	46.2066	43.7724	40.658	36.7891	33.2901	29.341	24.6194	21.3966	18.284	15.2994	12.799	10.1825	31.1349	29.9279	27.2487	26.7194
708.5	4.92884	5.85914	7.11471	8.77831	10.8511	13.4735	16.3812	19.477	22.6337	26.077	30.6441	34.8391	38.6124	41.5724	45.1617	47.9007	0.612305	2.02734	3.2404	4.3791	5.46513	6.49645	7.42499	8.19822	8.83071	8.17576	7.31141	6.44185	5.42611	4.38514	3.28888	2.05245	0.608335	47.7056	45.809	42.6865	38.7084	35.162	31.1332	26.2543	22.9306	19.6668	16.5102	13.9001	11.1624	31.6381	30.3268	27.6018	27.0917
709	5.64734	6.60209	7.89595	9.6501	11.8257	14.5268	17.5697	20.8171	24.1012	27.6556	32.3382	36.6249	40.4519	43.262	0.254996	1.72711	3.13615	4.37081	5.50861	6.62939	7.73916	8.80159	9.79123	10.6292	11.2538	10.6202	9.73364	8.7744	7.73578	6.65713	5.54956	4.38178	3.12339	1.73936	0.24984	44.5245	40.5633	36.9903	32.892	27.859	24.4415	21.0296	17.702	14.986	12.1282	32.1373	30.7222	27.9504	27.4588
709.5	6.35758	7.33722	8.66754	10.512	12.7887	15.5639	18.7396	22.1359	25.5423	29.2009	33.9909	38.3334	41.311	1.03154	2.62736	4.03835	5.36127	6.60317	7.80163	8.9827	10.1583	11.269	12.3264	13.2322	13.8733	13.2362	12.3198	11.2641	10.1855	9.0255	7.83036	6.60655	5.34757	4.03758	2.61733	1.01446	41.4173	38.7456	34.6136	29.432	25.9283	22.3719	18.8742	16.0564	13.0798	32.6306	31.1126	28.2937	27.8205
710	7.0584	8.06334	9.42847	11.3631	13.7395	16.5844	19.8904	23.4329	26.9558	30.7078	35.5455	31.532	1.60252	3.30535	4.81435	6.2404	7.60523	8.92821	10.2338	11.4981	12.7478	13.9015	15.0231	15.9987	16.6716	16.015	15.066	13.9128	12.8004	11.5507	10.2469	8.93001	7.59936	6.22998	4.80325	3.28936	1.61412	31.1416	36.2446	30.9684	27.3899	23.693	20.0266	17.1111	14.017	33.1166	31.4969	28.631	28.1763
710.5	7.7492	8.7798	10.1782	12.2031	14.6778	17.588	21.0218	24.7069	28.3358	32.1121	31.1935	1.88966	3.74971	5.42293	6.99516	8.51687	9.9637	11.3904	12.817	14.1651	15.4842	16.6678	17.848	18.8959	19.6103	18.9243	17.9419	16.6906	15.5594	14.2246	12.8104	11.3938	9.97337	8.50105	6.99021	5.41767	3.75679	1.88817	31.3698	32.4056	28.8209	24.9921	21.1588	18.15	14.9399	33.5944	31.8746	28.9621	28.5259
711	8.42966	9.48624	10.9164	13.0316	15.6031	18.5744	22.1329	25.9533	29.6348	32.1295	1.78602	3.94138	5.82155	7.57199	9.26271	10.9078	12.4427	13.9755	15.5249	16.9491	18.328	19.5273	20.7608	21.8838	22.6458	21.9243	20.9092	19.5583	18.4252	17.014	15.4937	13.9819	12.4739	10.888	9.26874	7.58379	5.82548	3.93948	1.78357	32.4412	30.1759	26.2647	22.2702	19.1729	15.8484	34.0633	32.245	29.2865	28.8693
711.5	9.09964	10.1825	11.643	13.8486	16.5155	19.543	23.2212	27.1525	30.5623	1.00739	3.77223	5.94564	7.93198	9.79701	11.6251	13.4003	15.0163	16.6504	18.32	19.8106	21.2395	22.4406	23.7235	24.9243	25.7379	24.9774	23.9309	22.4779	21.3593	19.8801	18.2591	16.66	15.0738	13.3763	11.6461	9.83262	7.93499	5.9468	3.77348	1.02514	31.1653	27.4918	23.3583	20.1793	16.7424	34.5228	32.6077	29.6041	29.206
712	9.75912	10.8685	12.3578	14.6538	17.4146	20.4928	24.2786	28.2359	29.8271	2.87402	5.67432	7.98401	10.1052	12.0912	14.061	15.9652	17.6508	19.3794	21.1665	22.7142	24.1842	25.3747	26.7036	27.9851	28.8524	28.0515	26.9754	25.4171	24.328	22.788	21.0707	19.3921	17.7389	15.9361	14.1007	12.1576	10.1092	7.99177	5.68472	2.89288	30.5202	28.6063	24.4148	21.1682	17.6218	34.9725	32.9626	29.9147	29.5362
712.5	10.4081	11.5442	13.0609	15.4471	18.3	21.4215	25.2963	29.1978	29.0978	4.75531	7.61395	10.0594	12.3261	14.4321	16.5427	18.5722	20.3154	22.1321	24.0348	25.6315	27.1349	28.3031	29.6753	31.0401	31.9622	31.1207	30.0175	28.3501	27.3046	25.7096	23.8991	22.1478	20.4382	18.5368	16.6044	14.5359	12.3324	10.0766	7.63733	4.77687	29.832	29.6016	25.4311	22.1374	18.486	35.4117	33.3093	30.2181	29.8595
